txn_id,timestamp,from_acct,to_acct,amount,anomaly_type,label
T23993,2024-04-02 01:57:00,A0259,A0229,4505.9,after_hours,1
T24023,2024-04-02 02:59:00,A0302,A0150,7352.96,after_hours,1
T23618,2024-04-02 03:07:00,A0389,A0115,8545.89,after_hours,1
T23854,2024-04-02 03:21:00,A0017,A0425,7100.77,after_hours,1
T23701,2024-04-02 04:05:00,A0457,A0219,6789.0,after_hours,1
T23012,2024-04-02 04:17:00,A0004,A0183,2772.37,after_hours,1
T23201,2024-04-02 05:12:00,A0111,A0050,2390.97,after_hours,1
T22922,2024-04-02 05:41:00,A0446,A0333,4067.2,after_hours,1
T22972,2024-04-02 05:52:00,A0173,A0349,4591.45,after_hours,1
T14742,2024-04-02 06:35:00,A0432,A0362,2324.51,normal,0
T3596,2024-04-02 06:52:00,A0277,A0417,2750.08,normal,0
T7454,2024-04-02 07:19:00,A0056,A0485,4498.33,normal,0
T13968,2024-04-02 07:59:00,A0029,A0452,3379.58,normal,0
T8942,2024-04-02 08:38:00,A0313,A0002,9232.84,normal,0
T24985,2024-04-02 09:06:00,A0120,A0376,9822.37,structuring,1
T1622,2024-04-02 09:17:00,A0160,A0380,3444.9,normal,0
T13037,2024-04-02 09:25:00,A0034,A0154,5578.61,normal,0
T1011,2024-04-02 09:33:00,A0428,A0087,7524.37,normal,0
T3103,2024-04-02 09:34:00,A0415,A0393,2362.83,normal,0
T9154,2024-04-02 09:50:00,A0207,A0451,1390.02,normal,0
T18548,2024-04-02 09:51:00,A0308,A0203,8135.59,normal,0
T18412,2024-04-02 09:52:00,A0402,A0393,108.89,normal,0
T7534,2024-04-02 10:02:00,A0218,A0072,6462.69,normal,0
T7952,2024-04-02 10:35:00,A0423,A0232,9212.19,normal,0
T17463,2024-04-02 10:43:00,A0328,A0276,1907.44,normal,0
T16477,2024-04-02 10:51:00,A0253,A0028,3949.93,normal,0
T24588,2024-04-02 11:05:00,A0378,A0081,9769.41,structuring,1
T1412,2024-04-02 11:09:00,A0466,A0213,6765.68,normal,0
T6935,2024-04-02 11:14:00,A0009,A0144,4756.36,normal,0
T1442,2024-04-02 11:25:00,A0330,A0402,8575.42,normal,0
T24601,2024-04-02 11:28:00,A0415,A0117,9359.85,structuring,1
T8298,2024-04-02 11:36:00,A0311,A0407,4697.4,normal,0
T19484,2024-04-02 11:42:00,A0048,A0496,2484.52,normal,0
T3226,2024-04-02 11:49:00,A0116,A0162,9865.81,normal,0
T4492,2024-04-02 12:03:00,A0343,A0248,9707.83,normal,0
T5466,2024-04-02 12:07:00,A0484,A0300,6288.98,normal,0
T14674,2024-04-02 12:14:00,A0384,A0030,2613.69,normal,0
T1518,2024-04-02 12:23:00,A0299,A0013,6328.25,normal,0
T11701,2024-04-02 12:30:00,A0493,A0134,736.86,normal,0
T5346,2024-04-02 12:37:00,A0260,A0258,9004.66,normal,0
T13218,2024-04-02 12:38:00,A0010,A0355,7520.31,normal,0
T14194,2024-04-02 12:43:00,A0162,A0047,7970.19,normal,0
T3571,2024-04-02 12:52:00,A0414,A0267,4320.75,normal,0
T24669,2024-04-02 12:56:00,A0173,A0358,9871.63,structuring,1
T63,2024-04-02 12:57:00,A0295,A0100,7211.62,normal,0
T3600,2024-04-02 12:58:00,A0219,A0055,9685.98,normal,0
T10250,2024-04-02 12:59:00,A0435,A0335,2595.83,normal,0
T21306,2024-04-02 13:00:00,A0367,A0367,7433.05,self_loop,1
T10620,2024-04-02 13:15:00,A0251,A0129,193.46,normal,0
T4874,2024-04-02 13:15:00,A0340,A0128,5739.2,normal,0
T10068,2024-04-02 13:31:00,A0062,A0094,9649.09,normal,0
T18541,2024-04-02 13:39:00,A0270,A0098,2504.36,normal,0
T12676,2024-04-02 13:46:00,A0274,A0380,471.18,normal,0
T21130,2024-04-02 14:09:00,A0175,A0175,8190.17,self_loop,1
T1426,2024-04-02 14:12:00,A0248,A0315,6039.93,normal,0
T13727,2024-04-02 14:18:00,A0380,A0459,7604.39,normal,0
T5975,2024-04-02 14:28:00,A0151,A0074,2622.39,normal,0
T14900,2024-04-02 14:44:00,A0084,A0085,9126.9,normal,0
T18014,2024-04-02 14:46:00,A0138,A0404,125.31,normal,0
T934,2024-04-02 14:46:00,A0391,A0008,5335.5,normal,0
T5791,2024-04-02 14:50:00,A0028,A0278,3583.65,normal,0
T12179,2024-04-02 14:55:00,A0279,A0057,8650.47,normal,0
T4544,2024-04-02 15:00:00,A0034,A0219,6708.56,normal,0
T10205,2024-04-02 15:08:00,A0493,A0122,8045.9,normal,0
T14067,2024-04-02 15:19:00,A0164,A0146,5703.32,normal,0
T10781,2024-04-02 15:30:00,A0433,A0137,4659.74,normal,0
T7180,2024-04-02 15:43:00,A0262,A0055,3402.15,normal,0
T13192,2024-04-02 15:44:00,A0198,A0420,9379.7,normal,0
T17466,2024-04-02 16:09:00,A0132,A0106,7472.67,normal,0
T20399,2024-04-02 16:11:00,A0217,A0360,9110.21,circular_flow,1
T20398,2024-04-02 16:11:00,A0175,A0217,9210.21,circular_flow,1
T20397,2024-04-02 16:11:00,A0360,A0175,9310.21,circular_flow,1
T7171,2024-04-02 16:13:00,A0144,A0416,1917.24,normal,0
T15789,2024-04-02 16:22:00,A0023,A0311,3159.96,normal,0
T16872,2024-04-02 16:22:00,A0356,A0129,7395.1,normal,0
T11889,2024-04-02 16:24:00,A0268,A0372,9439.87,normal,0
T1760,2024-04-02 17:22:00,A0289,A0202,7650.68,normal,0
T24513,2024-04-02 17:32:00,A0446,A0005,9254.37,structuring,1
T18901,2024-04-02 17:34:00,A0005,A0078,313.56,normal,0
T620,2024-04-02 17:38:00,A0083,A0200,9649.25,normal,0
T6043,2024-04-02 17:39:00,A0310,A0227,183.04,normal,0
T14023,2024-04-02 17:58:00,A0133,A0400,1215.31,normal,0
T14032,2024-04-02 18:00:00,A0488,A0462,7918.69,normal,0
T1702,2024-04-02 18:08:00,A0093,A0348,2920.63,normal,0
T9871,2024-04-02 18:33:00,A0275,A0117,3852.83,normal,0
T3655,2024-04-02 18:45:00,A0431,A0158,5303.26,normal,0
T25016,2024-04-02 19:02:00,A0367,A0281,9658.58,structuring,1
T6004,2024-04-02 20:03:00,A0241,A0191,6275.81,normal,0
T7706,2024-04-02 20:29:00,A0195,A0279,2460.99,normal,0
T23834,2024-04-03 00:36:00,A0380,A0320,5497.87,after_hours,1
T24039,2024-04-03 01:21:00,A0360,A0456,3525.33,after_hours,1
T23349,2024-04-03 01:26:00,A0446,A0498,6673.67,after_hours,1
T23264,2024-04-03 01:38:00,A0053,A0462,6141.23,after_hours,1
T23430,2024-04-03 02:34:00,A0280,A0439,1027.29,after_hours,1
T23551,2024-04-03 02:57:00,A0173,A0128,3646.95,after_hours,1
T1493,2024-04-03 06:53:00,A0202,A0065,4089.13,normal,0
T12726,2024-04-03 07:13:00,A0253,A0036,1703.92,normal,0
T17951,2024-04-03 07:24:00,A0276,A0360,2074.87,normal,0
T568,2024-04-03 07:40:00,A0165,A0264,915.22,normal,0
T4806,2024-04-03 07:54:00,A0233,A0371,3209.45,normal,0
T24365,2024-04-03 08:12:00,A0102,A0179,9105.23,structuring,1
T1224,2024-04-03 08:17:00,A0050,A0109,5271.11,normal,0
T9385,2024-04-03 09:21:00,A0067,A0220,8382.63,normal,0
T13703,2024-04-03 09:33:00,A0270,A0027,7883.74,normal,0
T9912,2024-04-03 09:44:00,A0173,A0487,5083.39,normal,0
T15262,2024-04-03 09:50:00,A0448,A0249,3602.64,normal,0
T11395,2024-04-03 09:57:00,A0040,A0271,5356.78,normal,0
T13710,2024-04-03 10:00:00,A0061,A0454,5522.0,normal,0
T21107,2024-04-03 10:07:00,A0143,A0143,1256.56,self_loop,1
T7359,2024-04-03 10:13:00,A0308,A0334,5160.91,normal,0
T3165,2024-04-03 10:34:00,A0079,A0215,7054.04,normal,0
T18565,2024-04-03 10:37:00,A0354,A0082,2761.77,normal,0
T24166,2024-04-03 10:41:00,A0080,A0006,9565.14,structuring,1
T9057,2024-04-03 11:06:00,A0167,A0215,5975.57,normal,0
T16054,2024-04-03 11:13:00,A0258,A0169,8345.18,normal,0
T4382,2024-04-03 11:14:00,A0497,A0041,9570.22,normal,0
T8367,2024-04-03 11:17:00,A0390,A0159,2747.89,normal,0
T1991,2024-04-03 11:22:00,A0357,A0213,5545.31,normal,0
T22133,2024-04-03 11:40:00,A0141,A0141,5467.44,self_loop,1
T7464,2024-04-03 11:42:00,A0122,A0160,5516.8,normal,0
T9170,2024-04-03 12:02:00,A0188,A0021,4444.26,normal,0
T10303,2024-04-03 12:27:00,A0416,A0197,2059.58,normal,0
T17407,2024-04-03 12:29:00,A0438,A0083,5300.62,normal,0
T12746,2024-04-03 12:34:00,A0280,A0387,8435.02,normal,0
T6237,2024-04-03 12:43:00,A0366,A0293,9563.65,normal,0
T14280,2024-04-03 13:34:00,A0182,A0061,4043.79,normal,0
T17526,2024-04-03 13:47:00,A0121,A0366,5707.19,normal,0
T11063,2024-04-03 14:06:00,A0417,A0327,9251.69,normal,0
T7551,2024-04-03 14:12:00,A0045,A0253,1469.74,normal,0
T13920,2024-04-03 14:25:00,A0099,A0045,5595.21,normal,0
T5196,2024-04-03 14:29:00,A0165,A0168,7207.07,normal,0
T4689,2024-04-03 14:34:00,A0396,A0496,4872.19,normal,0
T613,2024-04-03 14:36:00,A0146,A0307,8779.99,normal,0
T7587,2024-04-03 14:40:00,A0283,A0240,3961.22,normal,0
T17604,2024-04-03 14:50:00,A0236,A0432,2920.96,normal,0
T21959,2024-04-03 14:58:00,A0058,A0058,5310.1,self_loop,1
T7651,2024-04-03 15:04:00,A0237,A0377,6058.45,normal,0
T25153,2024-04-03 15:07:00,A0014,A0199,9210.89,structuring,1
T11020,2024-04-03 15:11:00,A0026,A0260,8152.22,normal,0
T1289,2024-04-03 15:15:00,A0316,A0098,9117.78,normal,0
T12678,2024-04-03 15:21:00,A0334,A0257,7892.41,normal,0
T21461,2024-04-03 15:26:00,A0358,A0358,2503.07,self_loop,1
T5464,2024-04-03 15:33:00,A0241,A0135,1125.02,normal,0
T11229,2024-04-03 15:57:00,A0292,A0486,4927.21,normal,0
T6382,2024-04-03 16:15:00,A0163,A0047,8733.63,normal,0
T10869,2024-04-03 16:17:00,A0177,A0148,8942.45,normal,0
T19973,2024-04-03 16:21:00,A0288,A0115,7469.37,circular_flow,1
T19971,2024-04-03 16:21:00,A0115,A0367,7669.37,circular_flow,1
T19972,2024-04-03 16:21:00,A0367,A0288,7569.37,circular_flow,1
T5726,2024-04-03 16:23:00,A0140,A0477,1411.99,normal,0
T8759,2024-04-03 16:42:00,A0412,A0206,3418.03,normal,0
T3729,2024-04-03 16:49:00,A0054,A0093,2245.25,normal,0
T8364,2024-04-03 17:30:00,A0407,A0020,9957.37,normal,0
T21155,2024-04-03 17:37:00,A0302,A0302,1722.34,self_loop,1
T21467,2024-04-03 17:39:00,A0115,A0115,7175.32,self_loop,1
T9954,2024-04-03 17:43:00,A0057,A0084,8398.06,normal,0
T19472,2024-04-03 17:47:00,A0289,A0402,7360.97,normal,0
T6311,2024-04-03 17:49:00,A0378,A0104,5248.97,normal,0
T12184,2024-04-03 18:14:00,A0398,A0421,1284.77,normal,0
T18020,2024-04-03 18:35:00,A0304,A0388,9389.74,normal,0
T2171,2024-04-03 20:53:00,A0191,A0333,3453.38,normal,0
T23836,2024-04-04 01:07:00,A0230,A0384,6400.75,after_hours,1
T23662,2024-04-04 02:31:00,A0173,A0252,8282.28,after_hours,1
T23167,2024-04-04 02:35:00,A0215,A0044,3221.58,after_hours,1
T22836,2024-04-04 03:21:00,A0175,A0164,8188.71,after_hours,1
T23785,2024-04-04 03:26:00,A0380,A0144,5521.82,after_hours,1
T23741,2024-04-04 04:09:00,A0016,A0055,1303.98,after_hours,1
T23484,2024-04-04 04:13:00,A0195,A0358,1718.46,after_hours,1
T22557,2024-04-04 04:17:00,A0195,A0281,1911.69,after_hours,1
T22718,2024-04-04 04:49:00,A0457,A0183,8852.63,after_hours,1
T23782,2024-04-04 05:10:00,A0048,A0100,7046.38,after_hours,1
T25387,2024-04-04 06:14:00,A0303,A0264,9311.99,structuring,1
T11439,2024-04-04 06:50:00,A0424,A0039,9300.41,normal,0
T3717,2024-04-04 07:26:00,A0333,A0399,570.49,normal,0
T8935,2024-04-04 07:35:00,A0373,A0058,6985.95,normal,0
T11134,2024-04-04 07:42:00,A0395,A0349,9895.84,normal,0
T24318,2024-04-04 07:49:00,A0175,A0298,9409.06,structuring,1
T17131,2024-04-04 07:58:00,A0063,A0389,4078.04,normal,0
T19168,2024-04-04 09:18:00,A0174,A0054,5045.04,normal,0
T4610,2024-04-04 09:21:00,A0029,A0174,7749.88,normal,0
T14560,2024-04-04 09:38:00,A0097,A0381,5725.29,normal,0
T19111,2024-04-04 09:38:00,A0337,A0495,7680.57,normal,0
T22539,2024-04-04 09:40:00,A0358,A0358,3158.47,self_loop,1
T22321,2024-04-04 09:42:00,A0141,A0141,6296.92,self_loop,1
T2268,2024-04-04 09:51:00,A0283,A0369,8653.76,normal,0
T1554,2024-04-04 09:54:00,A0228,A0237,270.94,normal,0
T2624,2024-04-04 09:56:00,A0395,A0217,3185.68,normal,0
T485,2024-04-04 10:14:00,A0334,A0210,5181.48,normal,0
T9354,2024-04-04 10:31:00,A0450,A0091,7639.55,normal,0
T11398,2024-04-04 10:38:00,A0161,A0036,1558.36,normal,0
T2506,2024-04-04 10:44:00,A0359,A0149,636.5,normal,0
T24594,2024-04-04 10:44:00,A0111,A0038,9661.68,structuring,1
T16033,2024-04-04 10:45:00,A0458,A0062,687.71,normal,0
T7390,2024-04-04 11:01:00,A0432,A0117,5130.41,normal,0
T18567,2024-04-04 11:03:00,A0089,A0229,4208.49,normal,0
T2615,2024-04-04 11:04:00,A0434,A0081,3408.33,normal,0
T3855,2024-04-04 11:09:00,A0155,A0049,2117.49,normal,0
T19467,2024-04-04 11:40:00,A0185,A0073,1636.96,normal,0
T15596,2024-04-04 11:45:00,A0321,A0282,4991.35,normal,0
T16222,2024-04-04 11:52:00,A0346,A0237,9461.4,normal,0
T15509,2024-04-04 11:58:00,A0496,A0057,835.71,normal,0
T18564,2024-04-04 12:00:00,A0073,A0217,1746.8,normal,0
T5141,2024-04-04 12:20:00,A0132,A0327,1482.75,normal,0
T10351,2024-04-04 12:34:00,A0437,A0186,6215.13,normal,0
T15260,2024-04-04 12:40:00,A0269,A0065,742.71,normal,0
T7294,2024-04-04 12:45:00,A0378,A0186,4620.34,normal,0
T5329,2024-04-04 12:47:00,A0001,A0410,3049.89,normal,0
T4419,2024-04-04 12:50:00,A0079,A0167,3094.62,normal,0
T21983,2024-04-04 12:51:00,A0491,A0491,1617.57,self_loop,1
T8518,2024-04-04 12:52:00,A0326,A0155,1319.38,normal,0
T1667,2024-04-04 12:57:00,A0360,A0054,6331.77,normal,0
T15122,2024-04-04 13:10:00,A0386,A0158,3152.11,normal,0
T10871,2024-04-04 13:26:00,A0368,A0167,987.13,normal,0
T20893,2024-04-04 13:27:00,A0259,A0309,5442.82,circular_flow,1
T20892,2024-04-04 13:27:00,A0111,A0259,5542.82,circular_flow,1
T20894,2024-04-04 13:27:00,A0309,A0111,5342.82,circular_flow,1
T5538,2024-04-04 13:32:00,A0387,A0475,6054.59,normal,0
T665,2024-04-04 13:50:00,A0485,A0387,4822.96,normal,0
T17286,2024-04-04 13:52:00,A0363,A0317,3912.65,normal,0
T2741,2024-04-04 14:03:00,A0128,A0081,1125.75,normal,0
T7522,2024-04-04 14:07:00,A0043,A0307,6989.75,normal,0
T1160,2024-04-04 14:14:00,A0296,A0448,1370.62,normal,0
T15046,2024-04-04 14:31:00,A0322,A0219,741.15,normal,0
T13818,2024-04-04 14:31:00,A0233,A0469,1642.09,normal,0
T4039,2024-04-04 14:32:00,A0159,A0154,1237.07,normal,0
T133,2024-04-04 14:34:00,A0131,A0236,2627.73,normal,0
T15428,2024-04-04 14:36:00,A0210,A0014,5093.04,normal,0
T8051,2024-04-04 14:37:00,A0439,A0400,4830.59,normal,0
T6027,2024-04-04 14:52:00,A0389,A0024,1374.4,normal,0
T7696,2024-04-04 14:53:00,A0145,A0374,9201.52,normal,0
T18052,2024-04-04 14:54:00,A0319,A0348,8975.0,normal,0
T17355,2024-04-04 14:59:00,A0011,A0096,8594.19,normal,0
T13257,2024-04-04 15:10:00,A0437,A0222,6579.69,normal,0
T1340,2024-04-04 15:21:00,A0308,A0007,7944.76,normal,0
T25533,2024-04-04 15:25:00,A0111,A0356,9830.49,structuring,1
T10936,2024-04-04 15:26:00,A0332,A0032,5377.41,normal,0
T22460,2024-04-04 15:31:00,A0491,A0491,1363.56,self_loop,1
T10892,2024-04-04 15:34:00,A0125,A0431,1446.07,normal,0
T3639,2024-04-04 15:38:00,A0346,A0400,7442.65,normal,0
T10294,2024-04-04 16:05:00,A0211,A0498,6700.86,normal,0
T11563,2024-04-04 16:17:00,A0201,A0232,6574.26,normal,0
T2094,2024-04-04 16:20:00,A0237,A0284,7632.52,normal,0
T3413,2024-04-04 16:28:00,A0033,A0069,8761.0,normal,0
T13760,2024-04-04 16:28:00,A0203,A0092,434.76,normal,0
T4004,2024-04-04 16:41:00,A0342,A0224,8591.32,normal,0
T11279,2024-04-04 16:46:00,A0039,A0388,5392.69,normal,0
T25541,2024-04-04 16:51:00,A0367,A0254,9351.24,structuring,1
T3288,2024-04-04 16:55:00,A0269,A0077,8905.63,normal,0
T17557,2024-04-04 17:08:00,A0194,A0356,2319.32,normal,0
T19516,2024-04-04 17:11:00,A0067,A0267,1136.16,normal,0
T11151,2024-04-04 17:20:00,A0264,A0058,3686.75,normal,0
T9680,2024-04-04 17:29:00,A0418,A0370,6824.14,normal,0
T17036,2024-04-04 17:36:00,A0027,A0482,3665.23,normal,0
T13963,2024-04-04 17:36:00,A0210,A0258,5520.87,normal,0
T10229,2024-04-04 17:37:00,A0262,A0085,1891.56,normal,0
T16195,2024-04-04 17:57:00,A0320,A0499,9684.9,normal,0
T6784,2024-04-04 18:54:00,A0161,A0125,5580.01,normal,0
T9977,2024-04-04 19:58:00,A0021,A0059,2513.01,normal,0
T17566,2024-04-04 20:50:00,A0043,A0180,105.71,normal,0
T19789,2024-04-04 20:56:00,A0309,A0391,5756.07,circular_flow,1
T19790,2024-04-04 20:56:00,A0391,A0446,5656.07,circular_flow,1
